id,FACILITY_NAME,FACILITY_ID,INDUSTRY_TYPE,NAICS_CODE,YEAR,POLLUTANT,LBS_EMITTED,TONS_EMITTED,x,y
71,Electric Machinery Co LLC,5300028,Manufacturing,335312,2006,Carbon Monoxide,3244.1,1.62,480380.1088198266,4982080.723050026
72,Electric Machinery Co LLC,5300028,Manufacturing,335312,2006,Nitrogen Oxides,5186.4,2.59,480380.1088198266,4982080.723050026
73,Electric Machinery Co LLC,5300028,Manufacturing,335312,2006,PM Primary,294.05,0.15,480380.1088198266,4982080.723050026
74,Electric Machinery Co LLC,5300028,Manufacturing,335312,2006,PM10 Primary,286.8,0.14,480380.1088198266,4982080.723050026
75,Electric Machinery Co LLC,5300028,Manufacturing,335312,2006,Sulfur Dioxide,21.912,0.01,480380.1088198266,4982080.723050026
76,Electric Machinery Co LLC,5300028,Manufacturing,335312,2006,Volatile Organic Compounds,47221.0,23.61,480380.1088198266,4982080.723050026
77,Electric Machinery Co LLC,5300028,Manufacturing,335312,2006,Lead,0.01798,0.0,480380.1088198266,4982080.723050026
148,Prospect Foundry LLC,5300099,Manufacturing,331511,2006,Carbon Monoxide,53856.0,26.93,481570.9964239971,4982288.243841606
149,Prospect Foundry LLC,5300099,Manufacturing,331511,2006,Nitrogen Oxides,12636.0,6.32,481570.9964239971,4982288.243841606
150,Prospect Foundry LLC,5300099,Manufacturing,331511,2006,PM Primary,66265.0,33.13,481570.9964239971,4982288.243841606
151,Prospect Foundry LLC,5300099,Manufacturing,331511,2006,PM10 Primary,28880.0,14.44,481570.9964239971,4982288.243841606
152,Prospect Foundry LLC,5300099,Manufacturing,331511,2006,Sulfur Dioxide,753.45,0.38,481570.9964239971,4982288.243841606
153,Prospect Foundry LLC,5300099,Manufacturing,331511,2006,Volatile Organic Compounds,41305.0,20.65,481570.9964239971,4982288.243841606
154,Prospect Foundry LLC,5300099,Manufacturing,331511,2006,Lead,362.67,0.18,481570.9964239971,4982288.243841606
323,Qwest Communications - 12075,5301055,Other,51711,2006,Carbon Monoxide,2580.0,1.29,482107.55981580715,4982440.483135579
324,Qwest Communications - 12075,5301055,Other,51711,2006,Nitrogen Oxides,9340.0,4.67,482107.55981580715,4982440.483135579
