index,objectid,site_id,name,active_flag,address_street,address_city,address_state,address_zip,city,county,cong_district,senate_district,house_district,huc8,watershed_name,site_url,activity,activity_list,mpca_id,mpca_id_list,program_code_list,program_name,program_name_list,industrial_classification,ic_flag,latitude,longitude,coord_collect_method_code,coord_collect_method_name,shape,geometry
75611,75583,140705,QJKL12-0001 Repair Aircraft Parking Apro,N,760 Military Hwy ,Minneapolis,MN,55450-2100,Minneapolis,Hennepin,5.0,63.0,63B,7020012.0,Lower Minnesota River,https://webapp.pca.state.mn.us/wimn/site/140705,Construction Stormwater,Construction Stormwater,C00035292,C00035292,ST,Stormwater,Stormwater,,N,44.8935,-93.2132,I2,Digitized-DOQ,0101000020E610000076E09C11A54D57C0EE7C3F355E724640,POINT (483165.49909060646 4971141.634339625)
106234,106219,139389,QJKL11-003 Repair Aircraft Parking Apron,N,Address Unknown ,Minneapolis,MN,55450,Minneapolis,Hennepin,5.0,63.0,63B,7020012.0,Lower Minnesota River,https://webapp.pca.state.mn.us/wimn/site/139389,Construction Stormwater,Construction Stormwater,C00031980,C00031980,ST,Stormwater,Stormwater,,N,44.8935,-93.2138,G8,GPS - Other,0101000020E6100000A1F831E6AE4D57C0EE7C3F355E724640,POINT (483118.1220956432 4971141.759119675)
16103,16066,135722,Shelter Construction,Y,5732 15th Ave S ,Minneapolis,MN,55417,Minneapolis,Hennepin,5.0,63.0,63B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/135722,Hazardous Waste,Hazardous Waste,MNS000155143,MNS000155143,HW,Hazardous Waste,Hazardous Waste,General Automotive Repair ,N,44.8985121,-93.2541044,DM,Digitized - MPCA internal map,0101000020E610000043F1193F435057C0B747CA7102734640,POINT (479937.36970825517 4971707.711760689)
19166,19123,206177,Jury Residence,Y,5400 Edgewater Blvd ,Minneapolis,MN,55417,Minneapolis,Hennepin,5.0,63.0,63B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/206177,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",LS0019747,LS0019747,SR,Investigation and Cleanup,Investigation and Cleanup,,N,44.9049718,-93.2545391,DM,Digitized - MPCA internal map,0101000020E610000069835D5E4A5057C0B066AE1DD6734640,POINT (479905.3036997887 4972425.396966307)
112200,112185,249602,Kamer Property,Y,1530 E 54th St ,Minneapolis,MN,55417,Minneapolis,Hennepin,5.0,63.0,63B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/249602,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",LS0021614,LS0021614,SR,Investigation and Cleanup,Investigation and Cleanup,,N,44.90550219,-93.25203694,DM,Digitized - MPCA internal map,0101000020E6100000C5AB8B5F215057C0D140EA7EE7734640,POINT (480103.0206357692 4972483.699014449)
44125,44082,16183,Nokomis Chiropractic Center Pa,Y,5204 Bloomington Ave ,Minneapolis,MN,55417-1820,Minneapolis,Hennepin,5.0,63.0,63B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/16183,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",MNR000007310,MNR000007310,HW,Hazardous Waste,Hazardous Waste,Health Services,N,44.9086771,-93.2526246,DM,Digitized - MPCA internal map,0101000020E610000091CA5E002B5057C0E38FFD874F744640,POINT (480057.72838782764 4972836.529394126)
39816,39781,227800,Bill Kelly House,Y,3104 E 58th St ,Minneapolis,MN,55417-2800,Minneapolis,Hennepin,5.0,63.0,63B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/227800,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",MNS000325760,MNS000325760,HW,Hazardous Waste,Hazardous Waste,Residential Mental Health and Substance Abuse Facilities ,N,44.89817352,-93.22701908,A1,Address Matching House Number,0101000020E6100000C10A097B874E57C040449359F7724640,POINT (482075.7768659012 4971663.755917014)
77289,77267,213191,Bossen Field Park,Y,5601 28th Ave S ,Minneapolis,MN,55417,Minneapolis,Hennepin,5.0,63.0,63B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/213191,Construction Stormwater,Construction Stormwater,C00043710,C00043710,ST,Stormwater,Stormwater,,N,44.899843,-93.229844,DP,Digitized - MPCA online map,0101000020E6100000A3CB9BC3B54E57C06B44300E2E734640,POINT (481853.260944825 4971849.839021967)
57589,57545,193722,BOSSEN FIELD,Y,5601 28th Ave S ,Minneapolis,MN,55417,Minneapolis,Hennepin,5.0,63.0,63B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/193722,"Superfund, Superfund Program Non-listed Sites","Superfund, Superfund Program Non-listed Sites",SR0001386,SR0001386,SR,Investigation and Cleanup,Investigation and Cleanup,,N,44.899897,-93.22976,G9,GPS - Unknown,0101000020E6100000747B4963B44E57C05F622CD32F734640,POINT (481859.91001227667 4971855.818825068)
174243,174234,107689,Sidal Realty,N,5717 31st Ave S ,Minneapolis,MN,55417,Minneapolis,Hennepin,5.0,63.0,63B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/107689,Underground Tanks,Underground Tanks,TS0013046,TS0013046,TL,Tanks,Tanks,,N,44.9000229,-93.2267528,DM,Digitized - MPCA internal map,0101000020E6100000B1112D1E834E57C057934CF333734640,POINT (482097.37629096175 4971869.135906473)
