index,name,active_fla,address_st,activity,activity_l,program__1,mpca_id_li,industrial,shape,geometry
0,QJKL12-0001 Repair Aircraft Parking Apro,N,760 Military Hwy,Construction Stormwater,Construction Stormwater,Stormwater,C00035292,,0101000020E610000076E09C11A54D57C0EE7C3F355E724640,POINT (483165.49909060646 4971141.634339625)
1,QJKL11-003 Repair Aircraft Parking Apron,N,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00031980,,0101000020E6100000A1F831E6AE4D57C0EE7C3F355E724640,POINT (483118.1220956432 4971141.759119675)
2,Shelter Construction,Y,5732 15th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000155143,General Automotive Repair,0101000020E610000043F1193F435057C0B747CA7102734640,POINT (479937.36970825517 4971707.711760689)
3,Jury Residence,Y,5400 Edgewater Blvd,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0019747,,0101000020E610000069835D5E4A5057C0B066AE1DD6734640,POINT (479905.3036997887 4972425.396966307)
4,Kamer Property,Y,1530 E 54th St,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0021614,,0101000020E6100000C5AB8B5F215057C0D140EA7EE7734640,POINT (480103.0206357692 4972483.699014449)
5,Nokomis Chiropractic Center Pa,Y,5204 Bloomington Ave,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000007310,Health Services,0101000020E610000091CA5E002B5057C0E38FFD874F744640,POINT (480057.72838782764 4972836.529394126)
6,Bill Kelly House,Y,3104 E 58th St,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000325760,Residential Mental Health and Substance Abuse Facilities,0101000020E6100000C10A097B874E57C040449359F7724640,POINT (482075.7768659012 4971663.755917014)
7,Bossen Field Park,Y,5601 28th Ave S,Construction Stormwater,Construction Stormwater,Stormwater,C00043710,,0101000020E6100000A3CB9BC3B54E57C06B44300E2E734640,POINT (481853.260944825 4971849.839021967)
8,BOSSEN FIELD,Y,5601 28th Ave S,"Superfund, Superfund Program Non-listed Sites","Superfund, Superfund Program Non-listed Sites",Investigation and Cleanup,SR0001386,,0101000020E6100000747B4963B44E57C05F622CD32F734640,POINT (481859.91001227667 4971855.818825068)
9,Sidal Realty,N,5717 31st Ave S,Underground Tanks,Underground Tanks,Tanks,TS0013046,,0101000020E6100000B1112D1E834E57C057934CF333734640,POINT (482097.37629096175 4971869.135906473)
10,Crosstown Covenant Church,N,5540 30th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000173609,Religious Organizations,0101000020E61000007782FDD7B94E57C013EA8E6A7D734640,POINT (481834.3660729954 4972118.932241371)
11,Wenonah West Lift Station,Y,5370 29th Ave S,Construction Stormwater,Construction Stormwater,Stormwater,C00059369; CS-gen,,0101000020E610000015E126A3CA4E57C0753DD175E1734640,POINT (481754.41067042423 4972458.317097994)
12,Lock & Dam #1,Y,5000 River Pkwy,Multiple Activities,"Aboveground Tanks; Hazardous Waste, Minimal quantity generator; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0010879; MN1210890454; MNS000322248; TS0003244; TS0054605,Lessors of Other Real Estate Property,0101000020E6100000FED64E94C44E57C058D581621A744640,POINT (481784.1506676516 4972651.211461828)
